title,year,released_at,director,awards,imdb_votes
DuckTales the Movie: Treasure of the Lost Lamp,1990,03-Aug-90,Bob Hathcock,1 nomination.,"24,234"
Dug's Special Mission,2009,10-Nov-09,Ronnie Del Carmen,N/A,"5,161"
Dumbo,2019,29-Mar-19,Tim Burton,3 wins & 12 nominations.,"58,882"
,,,,,
Earth Live,2017,09-Jul-17,Glenn Weiss,N/A,24
Easter Island Underworld,2009,09-Jun-09,Geoffrey Luck,N/A,12
Eddie's Million Dollar Cook-Off,2003,18-Jul-03,Paul Hoen,N/A,"2,304"
Eight Below,2006,17-Feb-06,Frank Marshall,2 wins & 2 nominations.,"58,850"
Elena of Avalor,2016–,22-Jul-16,N/A,Nominated for 1 Primetime Emmy. Another 7 wins & 17 nominations.,998
,,,,,
Elephant,2020,03-Apr-20,"Mark Linfield, Vanessa Berlowitz(co-director)",N/A,61
Elmer Elephant,1936,28-Mar-36,Wilfred Jackson,N/A,991
Emil and the Detectives,1964,18-Dec-64,Peter Tewksbury,N/A,390
Empire of Dreams: The Story of the 'Star Wars' Trilogy,2004,20-Sep-04,"Edith Becker, Kevin Burns",Nominated for 1 Primetime Emmy. Another 1 win.,"3,772"
Encore!,2019–,12-Nov-19,N/A,N/A,235
Escape to Witch Mountain,1975,21-Mar-75,John Hough,N/A,"8,810"
Even Stevens,2000–2003,17-Jun-00,N/A,6 wins & 20 nominations.,"13,163"
Expedition Amelia,2019,20-Oct-19,N/A,N/A,10
Expedition Mars,2016,16-Nov-16,N/A,N/A,18
Disney's Fairy Tale Weddings,2017–,11-Dec-17,N/A,1 win.,47
Fantasia,1940,21-Jul-41,"James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen",8 wins & 1 nomination.,"84,999"
Fantasia 2000,1999,16-Jun-00,"James Algar, Gaëtan Brizzi, Paul Brizzi, Hendel Butoy, Francis Glebas, Eric Goldberg, Don Hahn, Pixote Hunt",4 wins & 7 nominations.,"33,785"
Fantastic Four: The Animated Series,1994–1996,24-Sep-94,N/A,N/A,"2,886"
Fantastic Four: World's Greatest Heroes,2006–2010,N/A,N/A,N/A,"1,921"
Ferdinand the Bull,1938,25-Nov-38,Dick Rickard,N/A,"2,254"
Finding Dory,2016,17-Jun-16,"Andrew Stanton, Angus MacLane(co-director)",Nominated for 1 BAFTA Film Award. Another 17 wins & 45 nominations.,"2,27,414"
Finding Nemo,2003,30-May-03,"Andrew Stanton, Lee Unkrich(co-director)",Won 1 Oscar. Another 49 wins & 62 nominations.,"9,11,647"
,,,,,
First Kid,1996,30-Aug-96,David Mickey Evans,1 nomination.,"9,855"
Fish Hooks,2010–2014,28-Aug-10,N/A,2 wins & 1 nomination.,"2,882"
Flight of the Navigator,1986,01-Aug-86,Randal Kleiser,4 nominations.,"42,322"
Float,2019,12-Nov-19,Bobby Rubio,N/A,"1,031"
Flowers and Trees,1932,30-Jul-32,Burt Gillett,N/A,"1,547"
Flubber,1997,26-Nov-97,Les Mayfield,3 wins & 2 nominations.,"81,512"
,,,,,
For the Birds,2000,02-Nov-01,Ralph Eggleston,Won 1 Oscar. Another 5 wins & 2 nominations.,"28,126"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
What is Cheese?,2020,03-Jan-20,Bob Peterson,N/A,26
,,,,,
,,,,,
What is Reading?,2020,10-Jan-20,Bob Peterson,N/A,32
,,,,,
Frank and Ollie,1995,20-Oct-95,Theodore Thomas,1 win.,524
Frankenweenie,2012,05-Oct-12,Tim Burton,Nominated for 1 Oscar. Another 11 wins & 49 nominations.,"94,078"
Frankenweenie,1984,21-Dec-84,Tim Burton,1 nomination.,"10,736"
Freaky Friday,1976,21-Jan-77,Gary Nelson,N/A,"11,109"
Freaky Friday,2003,06-Aug-03,Mark Waters,Nominated for 1 Golden Globe. Another 5 wins & 10 nominations.,"1,20,172"
Freaky Friday,2018,10-Aug-18,Steve Carr,N/A,916
Free Solo,2018,13-Dec-18,"Jimmy Chin, Elizabeth Chai Vasarhelyi",Won 1 Oscar. Another 29 wins & 54 nominations.,"46,710"
Frenemies,2012,13-Jan-12,Daisy von Scherler Mayer,3 nominations.,"3,969"
Frozen,2013,27-Nov-13,"Chris Buck, Jennifer Lee",Won 2 Oscars. Another 79 wins & 59 nominations.,"5,51,637"
